row.ID,annotation.network.number,NIST_POS_Samp_03.01,NIST_POS_Samp_17.01,NIST_POS_Samp_13.01,NIST_POS_Samp_15.01,NIST_POS_Samp_14.01,NIST_POS_Samp_06.01,NIST_POS_Samp_04.01,NIST_POS_Samp_01.01,NIST_POS_Samp_05.01,NIST_POS_Samp_16.01,NIST_POS_Samp_02.01,NIST_POS_Samp_12.01,NIST_POS_Samp_18.01,NIST_POS_Samp_10.01,NIST_POS_Samp_06.02,NIST_POS_Samp_11.01,NIST_POS_Samp_07.01,NIST_POS_Samp_13.02,NIST_POS_Samp_17.02,NIST_POS_Samp_01.02,NIST_POS_Samp_02.02,NIST_POS_Samp_03.02,NIST_POS_Samp_16.02,NIST_POS_Samp_04.02,NIST_POS_Samp_15.02,NIST_POS_Samp_09.01,NIST_POS_Samp_14.02,NIST_POS_Samp_18.02,NIST_POS_Samp_08.01,NIST_POS_Samp_05.02,NIST_POS_Samp_01.03,NIST_POS_Samp_09.02,NIST_POS_Samp_14.03,NIST_POS_Samp_03.03,NIST_POS_Samp_13.03,NIST_POS_Samp_10.02,NIST_POS_Samp_04.03,NIST_POS_Samp_11.02,NIST_POS_Samp_12.02,NIST_POS_Samp_02.03,NIST_POS_Samp_18.03,NIST_POS_Samp_17.03,NIST_POS_Samp_08.02,NIST_POS_Samp_15.03,NIST_POS_Samp_16.03,NIST_POS_Samp_07.02,NIST_POS_Samp_05.03,NIST_POS_Samp_06.03,NIST_POS_Samp_10.03,NIST_POS_Samp_11.03,NIST_POS_Samp_12.03,NIST_POS_Samp_08.03,NIST_POS_Samp_07.03,NIST_POS_Samp_09.03
13860,NA,5625.9497,909.98425,3955.626,4243.834,3781.4487,0,0,3151.4204,2258.2463,0,1816.8683,5254.385,0,2772.157,875.03186,6294.1367,12465.657,3682.655,1523.4763,5850.3667,9521.713,5013.2466,1422.7666,0,5041.1226,11621.82,4417.935,0,6808.904,2580.812,7572.3916,15137.829,5637.5786,7699.0225,5896.8564,5964.1025,2079.94,6991.9634,2656.3909,9014.661,0,564.66907,13719.912,5500.6694,0,7792.2773,1027.6233,1154.7778,2874.2285,7461.5054,11066.624,23564.756,22153.486,15904.843
13854,NA,0,0,0,0,0,0,0,0,0,0,0,10017.17,0,1116.5107,0,4613.606,0,0,0,0,0,0,0,0,0,31292.172,0,0,20392.258,0,0,33657.504,0,0,0,0,0,2879.1558,12281.341,0,0,0,24395.55,0,0,934.7771,0,0,0,1069.537,8774.435,20064.271,0,25506.004
13862,NA,3995.883,2502.3247,826.8208,1737.4818,1920.3756,873.79236,1225.1239,0,6080.502,2353.6714,849.9637,15253.239,3244.9492,5083.749,4803.2515,16239.285,7052.5767,1984.6973,6123.0103,2651.4878,3793.4138,2757.2808,3821.2017,9004.496,887.387,1694.6301,2981.57,3794.872,5125.504,6608.933,3265.746,8038.0464,2346.0298,4190.568,1052.0068,18470.45,7353.1597,12688.311,16586.191,5420.533,9407.891,1223.5002,11523.97,2061.1707,5051.6074,6518.578,7760.793,9135.938,7220.801,17468.857,26404.77,16850.375,15210.033,7978.0127
13884,1982,263462.16,100643.83,276138.8,200526.6,180596.9,117590.61,116419.68,257678.77,145747.94,94736.85,287037.56,286318.4,80616.25,277305.78,140611.56,284389.25,574005.75,264975.5,117570.414,255984.11,308483.53,262242.4,94858.99,138820.39,234869.25,570011.4,211498.55,91203.2,558386.9,136176.94,273802.56,591190.4,206586.62,271799.8,224931.9,279712.1,128813.46,276399.03,280640.1,284898.47,81790.83,100017.15,616705,212932,81754.54,617559.44,130775.14,152959.16,243692.47,241236.34,271362.56,529996.9,629842.4,610099.9
13890,1982,60008.344,15735.925,51996.7,41936.55,56477.555,21192.969,16752.441,47575.645,24610.3,20190.549,77893.086,52197.52,10281.004,51050.066,24400.986,54643.164,174192.81,50636.96,9054.021,59492.926,80433.15,68943.81,20177.984,21764.629,68477.85,172798.89,35291.977,19323.484,160853.75,22954.54,58490.42,198562.97,66217.65,53789.312,73045.984,58794.992,17312.035,61879.11,55815.863,47841.805,19292.541,13413.869,183000.8,56139.83,18271.55,192315.38,17865.527,33931.75,54758.137,57254.53,67439.28,163794.9,221135.56,209074.6
13903,NA,24155.281,0,20643.703,22098.787,22427.57,875.46515,848.7838,20822.967,1820.5317,0,12872.58,9295.509,0,7668.05,895.2208,11956.203,62448.96,25229.422,0,20867.2,9184.923,29045.076,0,825.05133,24210.443,75654.836,23693.518,0,69646.445,881.749,14379.565,42446.27,23425.63,24077.469,19393.223,9448.043,0,8940.732,10163.728,16479.473,0,0,57271.742,20854.975,0,71485.945,960.4734,809.9375,9342.483,3684.3525,6050.777,45998.19,60433.887,37874.742
13901,1982,6981.376,0,4617.3384,2702.8792,2686.3896,0,955.98486,4490.623,2132.8325,0,5024.78,3449.5215,0,903.98816,0,2608.144,5152.678,2257.9482,0,2305.1892,3162.3691,3771.127,0,0,1107.0256,5842.4023,0,0,4711.5864,0,2559.5305,5885.2373,830.959,1316.2567,788.6991,919.66736,0,818.06836,1825.7485,2122.51,0,0,4139.2646,1027.4081,0,4033.63,0,0,0,0,0,3764.3257,2408.058,1274.478
13893,NA,9124.566,0,6983.877,7689.9883,4834.918,0,0,7573.3477,0,0,10159.402,2420.2734,0,919.7774,0,0,23478.055,8137.525,0,6997.6436,11893.053,9828.551,0,0,7608.608,21668.863,6302.78,0,18424.889,0,9516.807,19489.502,7457.9536,9071.703,7050.0835,928.43677,0,807.88184,0,9280.383,0,0,23525.74,5917.049,0,24051.041,0,0,1970.3977,1027.5967,859.8097,20759.904,22216.732,21265.08
13894,NA,1262.755,12192.952,882.02454,0,0,12176.801,9276.233,0,15080.879,11001.506,1661.7628,23461.055,19651.95,35084.082,15126.018,16004.5625,4162.01,0,11807.538,0,1270.279,0,10850.516,15903.133,0,4514.329,0,19972.807,4506.5835,14137.061,0,7463.109,0,0,0,34039.137,13437.045,11818.504,25257.908,827.5889,23519.584,12196,2713.4346,0,8638.181,2703.1162,15315.405,11350.705,39685.51,21268.797,28372.852,3646.0645,2264.0728,1531.3215
13939,1985,4550.695,2327.9277,5658.9414,7396.9683000000005,6127.2363,2848.701,2183.2932,4888.691,4752.7593,3442.5703,3158.0105,8260.943,2030.4823,10496.229,3786.6606,9855.549,14120.072,8906.783,2032.0376,8651.772,9017.283,3529.9688,869.9147,1975.9897,4276.8745,8501.804,6314.26,1670.2324,12284.526,2761.8857,11991.713,19696.861,4621.616,13753.662,4149.751,13776.236,3689.7454,11076.539,7323.55,5220.2144,870.0063,613.2179,20354.938,5538.38,847.38776,18470.408,4148.6807,1191.1382,3847.4695,2718.2627,7758.8486,22040.04,15564.849,12717.848
13928,NA,3594.6304,16395.127,1328.6127,3122.4038,6195.5635,16184.684,18444.193,2471.8228,20396.646,21033.516,2338.8167,39520.2,16360.33,34803.906,17274.12,33476.098,14930.274,1850.3801,15201.055,5105.2803,2094.3086,4365.149,16809.459,20057.031,6531.0547,9821.498,4746.3193,16806.242,14643.883,15380.533,3448.0037,11120.502,2809.3677,4186.0757,1581.1841,39124.637,17169.531,32389.914,19807.902,1990.5669,8812.973,11655.54,13740.841,2924.2732,16354.3545,15180.491,9429.75,17456.59,17926.494,25646.518,41175.703,12258.492,8559.641,14075.008
13940,NA,5318.895,4896.709,4050.6372,3172.2097,3035.3296,8026.5664,6224.3228,2573.628,6791.856,6544.51,3709.0327,17388.787,3610.662,17706.537,6101.244,20334.766,18298.432,4881.257,7432.0063,3448.1558,6543.268,3868.584,6556.576,8256.483,2511.1868,20041.225,1741.4915,4582.121,9609.303,8061.533,6731.3276,15270.34,917.9409,4771.2812,2054.9644,18383.363,6074.2563,20540.582,25034.01,3289.1355,3672.3372,7216.1455,21250.15,1971.8862,5227.2764,19246.025,8996.347,9013.676,21906.691,21727.412,26806.195,18827.244,16484.248,15224.363
13941,1984,6489.6963,4537.265,10716.405,9059.574,7284.84,7081.346,4606.94,5553.0317,8179.8135,4021.8938,7361.636,9849.39,3802.5015,10304.736,6685.6143,12287.391,17480.041,14230.5205,5042.331,12034.579,14174.428,13865.32,3215.663,7191.5645,10011.34,13105.24,9267.252,2703.709,15186.181,5092.859,8640.218,16186.676,1915.4722,6526.89,3408.561,12916.129,6284.808,10713.277,10717.834,4010.1484,956.6975,3106.2842,16892.527,8776.22,2246.768,17237.666,3990.9858,5874.6226,8836.989,7969.866,8529.105,13442.107,14549.503,16196.603
